DRN_custom,LC_Pauli,MBD,BF,HB,AIsphere7,dACCsphere7,GLM,contrast,timelock
0.135095046908559,0.484676729490519,0.0757158898536506,0.221642818115204,0.0517441186134704,0.0669284472190608,0.0633319996852361,GLM_06.1,contr1,offer-timelocked
-0.154097358991848,-0.131558598479961,0.00247604788480668,0.322947569304615,0.182965218977373,-0.151129508655238,-0.262692602463275,GLM_06.1,contr1,offer-timelocked
-0.0500470079535082,-0.129569525145828,0.212941494327679,0.0559984003481284,-0.0142594663271313,0.264630407658926,0.0955035910695229,GLM_06.1,contr1,offer-timelocked
0.0196493416468768,-0.180564925103519,-0.0795081065281504,-0.155142457500436,-0.100033486889167,-0.112987488492247,-0.0505724452278799,GLM_06.1,contr1,offer-timelocked
-0.0598349071416316,-0.303053532398042,-0.0433157467171596,0.0665700826626343,-0.0384131921718653,-0.00875555141825049,-0.0939817393569414,GLM_06.1,contr1,offer-timelocked
0.291043993055392,-0.00402160690782498,0.48670958169054,0.202127672430493,0.127039200976666,0.167856944931345,-0.19075419432537,GLM_06.1,contr1,offer-timelocked
0.0506544549398668,-0.0392265611855603,0.134371112993917,0.0542121416529541,0.177866965526977,0.185030441701627,0.191214706569416,GLM_06.1,contr1,offer-timelocked
0.0906549012770915,-0.26267995879394,0.0515482288353668,-0.069400548119468,0.155555465085882,0.111673183350886,0.280534150243492,GLM_06.1,contr1,offer-timelocked
0,0,0,0,0,0,0,GLM_06.1,contr1,offer-timelocked
-0.304690284584512,-0.244696415491442,-0.108506424907573,-0.0850831575861174,-0.161072191982846,-0.290375640573888,-0.311755621240252,GLM_06.1,contr1,offer-timelocked
0.474310984589655,0.291573622124532,0.277110261223883,0.284103158176325,0.199998570544431,-0.00190874808072211,-0.130699594431675,GLM_06.1,contr1,offer-timelocked
0.00523323856436,-0.067006905520439,0.198513066037669,-0.03975169236684,0.229354656023495,0.122362191620836,-0.0561808214342301,GLM_06.1,contr1,offer-timelocked
0.0356890625759952,-0.128824472528832,0.232564022411754,0.232835486585535,0.0232696360188636,-0.199457433507232,-0.199495496512865,GLM_06.1,contr1,offer-timelocked
0,0,0,0,0,0,0,GLM_06.1,contr1,offer-timelocked
0.165449601585079,0.0654496292462125,0.163501923191573,-0.0903577480729672,0.0705839470889204,-0.0424140434180807,-0.0135278640736158,GLM_06.1,contr1,offer-timelocked
0.288150043377961,0.0060606993739125,0.150166245322978,0.315065106147276,0.362546295009797,0.252364645325523,-0.0657970064449061,GLM_06.1,contr1,offer-timelocked
0.25302231842926,-0.185217776116984,0.228656957670012,-0.164558289530452,0.068000192767513,0.070749166453973,-0.0838591673905968,GLM_06.1,contr1,offer-timelocked
0.244709129206577,-0.303090879539445,0.174432314356713,0.075481837539421,0.126620278684171,-0.0437241531280384,-0.196349376543234,GLM_06.1,contr1,offer-timelocked
0.021730242732451,0.023533321359476,0.0481099312866714,0.110361151258687,-0.0101145190904253,0.190819696852836,-0.0157806064410415,GLM_06.1,contr1,offer-timelocked
-0.0145529651267601,-0.0607630199328476,-0.0858301459889818,-0.00417496232771607,-0.000473518715042745,-0.00896561094373634,0.062499152130963,GLM_06.1,contr1,offer-timelocked
0.0142423868027176,-0.243619702770959,-0.160808925901456,-0.0900737870350908,-0.0840652578944329,0.100291239856619,0.0328304605260737,GLM_06.1,contr1,offer-timelocked
0.00958322480362466,0.308871532309757,0.20041919010691,0.150156465383635,0.133784169022656,0.120830773618345,-0.0659505343383324,GLM_06.1,contr1,offer-timelocked
-0.16353050988324,0.123520867085284,-0.0928061049764802,-0.104398761223944,-0.173580726568704,-0.210599659401518,0.0660567916727742,GLM_06.1,contr1,offer-timelocked
0.166676424439233,0.00785435738851261,0.0156659498773198,-0.050749324657823,-0.068692844548428,0.0436379037042992,0.0211928535603486,GLM_06.1,contr1,offer-timelocked
0.171538623011596,-0.242531783354345,0.0015942625680466,-0.0179459732644252,0.13904452412912,-0.0142330237333816,-0.130559695384614,GLM_06.1,contr1,offer-timelocked
0.0470074094526967,-0.0766176333668889,-0.115042189841512,0.0717954683538683,0.0104792650078006,0.0418340850044811,-0.00745466330384665,GLM_06.1,contr1,offer-timelocked
0.465686800663455,0.1005648321129,0.549937477850914,-0.0415765058860099,0.360529417144472,0.0300654075571964,-0.197104344554069,GLM_06.1,contr1,offer-timelocked
