MBD,GLM,contrast,timelock
0.0808932523944745,GLM_011,contr3,offer-timelocked
0.0673568951047605,GLM_011,contr3,offer-timelocked
0.0948308711084666,GLM_011,contr3,offer-timelocked
0.337965177203128,GLM_011,contr3,offer-timelocked
0.109130698730033,GLM_011,contr3,offer-timelocked
-0.0648464948871983,GLM_011,contr3,offer-timelocked
-0.185819407971582,GLM_011,contr3,offer-timelocked
-0.240238926153067,GLM_011,contr3,offer-timelocked
-0.028717713063647,GLM_011,contr3,offer-timelocked
-0.0654524426385771,GLM_011,contr3,offer-timelocked
0.0403062185338485,GLM_011,contr3,offer-timelocked
-0.092130644963637,GLM_011,contr3,offer-timelocked
-0.139498763149646,GLM_011,contr3,offer-timelocked
0.103085195284757,GLM_011,contr3,offer-timelocked
0.24496718457662,GLM_011,contr3,offer-timelocked
0.0385930758027279,GLM_011,contr3,offer-timelocked
-0.16687610969225,GLM_011,contr3,offer-timelocked
-0.275673370984507,GLM_011,contr3,offer-timelocked
0.0502073193192961,GLM_011,contr3,offer-timelocked
-0.175546695827568,GLM_011,contr3,offer-timelocked
0.094490314222922,GLM_011,contr3,offer-timelocked
-0.506463741388546,GLM_011,contr3,offer-timelocked
-0.155801771535664,GLM_011,contr3,offer-timelocked
-0.218060030444629,GLM_011,contr3,offer-timelocked
0.00356787939765621,GLM_011,contr3,offer-timelocked
-0.0549944502484413,GLM_011,contr3,offer-timelocked
-0.000752179708943914,GLM_011,contr3,offer-timelocked
