MBD,GLM,contrast,timelock
0.0952417145225368,GLM_011,contr1,offer-timelocked
0.00196640996136998,GLM_011,contr1,offer-timelocked
-0.0684567765512901,GLM_011,contr1,offer-timelocked
-0.049199046756444,GLM_011,contr1,offer-timelocked
-0.0648243061655892,GLM_011,contr1,offer-timelocked
0.167491176694374,GLM_011,contr1,offer-timelocked
-0.150054615883986,GLM_011,contr1,offer-timelocked
-0.0792090701685498,GLM_011,contr1,offer-timelocked
-0.0173022333076276,GLM_011,contr1,offer-timelocked
0.160490917387564,GLM_011,contr1,offer-timelocked
-0.0357448835007301,GLM_011,contr1,offer-timelocked
0.0156324752070337,GLM_011,contr1,offer-timelocked
-0.0511757745029087,GLM_011,contr1,offer-timelocked
0.0510217125524367,GLM_011,contr1,offer-timelocked
0.111440182821188,GLM_011,contr1,offer-timelocked
0.0278592942421971,GLM_011,contr1,offer-timelocked
0.0264687872343206,GLM_011,contr1,offer-timelocked
-0.082274542658625,GLM_011,contr1,offer-timelocked
0.0682569025431835,GLM_011,contr1,offer-timelocked
-0.0559467547536029,GLM_011,contr1,offer-timelocked
0.0712022708912603,GLM_011,contr1,offer-timelocked
0.109235465373583,GLM_011,contr1,offer-timelocked
0.0424829625410995,GLM_011,contr1,offer-timelocked
-0.0136720913447318,GLM_011,contr1,offer-timelocked
0.0714759606206731,GLM_011,contr1,offer-timelocked
0.196781340609013,GLM_011,contr1,offer-timelocked
0.000898673270481293,GLM_011,contr1,offer-timelocked
