DRN_custom,MBD,HB,BF,LC_Pauli,GLM,contrast,timelock
-0.249211913598307,-0.0133602210028768,-0.169175475758933,0.0669305322078346,0.00521000831902748,GLM_04.1,contr2,offer-timelocked
0.0186114348589238,0.167222533977089,0.129003775258338,-0.0250698755969766,-0.191375561427621,GLM_04.1,contr2,offer-timelocked
0.165245566668334,0.057103916987087,-0.0165594405225593,-0.0472633728752757,0.0938777751154563,GLM_04.1,contr2,offer-timelocked
-0.00593919789603314,0.0815558360190328,0.0052905577933659,0.164947934259951,-0.0568528528063353,GLM_04.1,contr2,offer-timelocked
0.0085448784775457,-0.0333407984191101,-0.0161029666909706,-0.0202386463830967,-0.0724888921071325,GLM_04.1,contr2,offer-timelocked
0.103124443120462,0.218568024658254,0.165999267879429,0.0871582933229582,0.0451493317197751,GLM_04.1,contr2,offer-timelocked
-0.0255731934903326,0.0161281559002047,-0.0762342892134858,0.0470061581271819,-0.0169846633861472,GLM_04.1,contr2,offer-timelocked
-0.018001029195688,-0.104812229127221,0.0184638283744977,0.102772544185398,-0.0200028714843957,GLM_04.1,contr2,offer-timelocked
0.0780279418376162,0.0979838587552102,0.0812621118679671,0.0730837883286965,0.0342066417676742,GLM_04.1,contr2,offer-timelocked
-0.0326985487191861,0.0395634913779319,-0.0595001361207027,0.108910164247382,0.0160314510246805,GLM_04.1,contr2,offer-timelocked
-0.0118902102120455,-0.142184919164486,-0.124421629778216,0.062297179417592,0.0957427156967905,GLM_04.1,contr2,offer-timelocked
-0.0782039732364264,-0.0493564200928743,0.037734329700895,0.0498195099309687,0.0598658927675588,GLM_04.1,contr2,offer-timelocked
-0.0371712802025007,-0.0795537743738699,-0.0212037750289243,0.0622835033217956,0.0742905414705379,GLM_04.1,contr2,offer-timelocked
0.0431002274724587,-0.0941580954953751,0.019054142931081,0.0820913321181137,-0.0176767755055,GLM_04.1,contr2,offer-timelocked
0.0205441351568163,0.027254208577807,-0.113612073966901,0.0352580341506129,-0.0190384616346634,GLM_04.1,contr2,offer-timelocked
0.0697338364354324,0.0354348414799433,0.00711191722920459,0.00338759739049618,0.0454105992390372,GLM_04.1,contr2,offer-timelocked
-0.0128728092517247,-0.0781113164762177,-0.104378024770413,-0.0368122714258935,0.0532975886145622,GLM_04.1,contr2,offer-timelocked
0.128546655534749,-0.000788014180259857,-0.105139919927039,0.0173389112117234,0.0340654551774217,GLM_04.1,contr2,offer-timelocked
-0.0318879527441562,-0.0216785917956987,-0.00629899360866336,-0.0943077995049665,0.0420474910335559,GLM_04.1,contr2,offer-timelocked
-0.0349654920822321,0.0579253724361908,0.0193019471033713,-0.0295928561894663,0.00992223834718377,GLM_04.1,contr2,offer-timelocked
0.128054816349564,-0.087981011589906,-0.0455891864693012,0.000931933804702701,0.169654879168881,GLM_04.1,contr2,offer-timelocked
0.0206023186569189,0.0990961952258149,0.0969124821925303,-0.0211294545517337,0.0634203646323489,GLM_04.1,contr2,offer-timelocked
0.027374512271678,0.0836459387113286,-0.00963633685769544,0.0436947205472134,0.00436047050102632,GLM_04.1,contr2,offer-timelocked
0.0533747234105335,0.0514737725566929,0.0950131545309923,-0.197339173076255,-0.0510904418731394,GLM_04.1,contr2,offer-timelocked
0.120346370890709,0.0146860777781769,0.0131496977180465,-0.00766994205433214,0.00311101869288763,GLM_04.1,contr2,offer-timelocked
0.00132476657175174,0.0458789772408208,0.0706612720278585,0.0747609185947915,-0.0430818701984626,GLM_04.1,contr2,offer-timelocked
0.0419395179773914,-0.0257947957385122,-0.144331057219522,0.0606610060001702,0.0474581378500799,GLM_04.1,contr2,offer-timelocked
