DRN_custom,LC_Pauli,MBD,BF,HB,GLM,contrast,timelock
-0.250958396697512,-0.127559292785033,-0.0157885332603962,0.137827662670745,0.00468723565439183,GLM_05,contr2,offer-timelocked
0.169073388280352,-0.0261047675626573,0.020062995346444,-0.0222434173812445,0.133921608048609,GLM_05,contr2,offer-timelocked
-0.0108146054190124,0.0935594743775946,-0.00740715454639251,-0.0366463302398111,-0.0185352063449588,GLM_05,contr2,offer-timelocked
-0.0179781972658231,-0.0261561037409155,0.0437464775359737,0.18202077486287,-0.0720193759908043,GLM_05,contr2,offer-timelocked
0.0142136447038011,-0.0153564453551805,-0.0448866321102802,-0.0111830971167881,-0.11904975938776,GLM_05,contr2,offer-timelocked
0.131367327532945,0.059505739122603,0.10218706610891,0.0772416191954136,0.169706767252078,GLM_05,contr2,offer-timelocked
-0.0277220127476927,-0.108258845696609,-0.0599626701406712,0.0377874505998732,-0.105681160400655,GLM_05,contr2,offer-timelocked
-0.0144970926400686,-0.0170537024103094,-0.106198721844224,0.0843511087071461,0.0135327214691556,GLM_05,contr2,offer-timelocked
0.0540405047491228,0.0147991152828857,-0.0328679299461266,0.0174985644997052,0.021018324322187,GLM_05,contr2,offer-timelocked
-0.00546079610794721,0.0448661857152603,0.0491408208838958,0.131438634411458,-0.0392921696438567,GLM_05,contr2,offer-timelocked
0.00787818741313704,0.0927275925405021,-0.113670105709794,0.0356598462454469,-0.00361193250571957,GLM_05,contr2,offer-timelocked
-0.0780897059327054,0.0599135882982977,0.0657593268380719,0.0505526803326084,0.0370616198774378,GLM_05,contr2,offer-timelocked
-0.0265598886654975,0.0855891158600717,0.152873403095858,0.0797334357469182,-0.0109477563213996,GLM_05,contr2,offer-timelocked
0.151824929501761,0.0415764576285221,-0.0545879928907018,0.103445610984042,0.0804899301655031,GLM_05,contr2,offer-timelocked
0.0286085109503509,-0.0182887964497232,-0.00800978296883428,0.0332520558230846,-0.0304049997342503,GLM_05,contr2,offer-timelocked
0.107138443616171,0.0237878076065789,0.0335718592783191,-0.00819958384072501,0.0194868714539971,GLM_05,contr2,offer-timelocked
0.0919910320882463,0.090312211012663,-0.0539432037012635,-0.014446498087936,-0.0986637420467611,GLM_05,contr2,offer-timelocked
0.0232857412539197,0.0498357345040591,0.00340673875988984,0.0147460190289627,-0.0156869902303534,GLM_05,contr2,offer-timelocked
-0.0263308610684359,0.0412777291926435,-0.0174458073746308,-0.1029625764993,-0.0108323241084063,GLM_05,contr2,offer-timelocked
-0.0418205106012091,0.0109768920534238,0.0684250646335167,-0.0446497580638502,0.0181142356844573,GLM_05,contr2,offer-timelocked
0.099098841819814,0.169415215602922,-0.0896180292625963,0.0130660095184633,-0.0463175530916426,GLM_05,contr2,offer-timelocked
0.0149970064411262,0.0855156911047984,0.0716100682524423,-0.00141502054753508,0.0951985644774799,GLM_05,contr2,offer-timelocked
0.0215730104124888,0.0167023009861496,0.059178561620566,0.055940846110429,-0.0088616927594142,GLM_05,contr2,offer-timelocked
0.166659285574207,0.00757986772191789,0.097295281332561,-0.151389997941614,0.113293167828014,GLM_05,contr2,offer-timelocked
0.011491395375583,-0.0993445591659697,0.00872586195057959,-0.043372223954872,0.0123214469575611,GLM_05,contr2,offer-timelocked
-0.0282267791409636,-0.0468365437503991,0.03063765827153,0.0361645282857406,0.0341332456600036,GLM_05,contr2,offer-timelocked
0.0622176309069861,0.0615694635024281,-0.0254545346081061,0.0914079315779317,-0.135819620544394,GLM_05,contr2,offer-timelocked
