DRN_custom,GLM,contrast,timelock
0,GLM_06.6,contr1,offer-timelocked
0,GLM_06.6,contr1,offer-timelocked
0,GLM_06.6,contr1,offer-timelocked
0,GLM_06.6,contr1,offer-timelocked
0,GLM_06.6,contr1,offer-timelocked
0.0129047967694982,GLM_06.6,contr1,offer-timelocked
0,GLM_06.6,contr1,offer-timelocked
0,GLM_06.6,contr1,offer-timelocked
0,GLM_06.6,contr1,offer-timelocked
0,GLM_06.6,contr1,offer-timelocked
0,GLM_06.6,contr1,offer-timelocked
0,GLM_06.6,contr1,offer-timelocked
-0.0359641831654141,GLM_06.6,contr1,offer-timelocked
-0.0399460770888819,GLM_06.6,contr1,offer-timelocked
-0.130376502900956,GLM_06.6,contr1,offer-timelocked
0,GLM_06.6,contr1,offer-timelocked
-0.00110707414707522,GLM_06.6,contr1,offer-timelocked
0.0706620471395258,GLM_06.6,contr1,offer-timelocked
0,GLM_06.6,contr1,offer-timelocked
0,GLM_06.6,contr1,offer-timelocked
0.0767915282823346,GLM_06.6,contr1,offer-timelocked
0,GLM_06.6,contr1,offer-timelocked
0,GLM_06.6,contr1,offer-timelocked
0,GLM_06.6,contr1,offer-timelocked
0,GLM_06.6,contr1,offer-timelocked
-0.103491915134557,GLM_06.6,contr1,offer-timelocked
0,GLM_06.6,contr1,offer-timelocked
