DRN_custom,GLM,contrast,timelock
0.0270646108947181,GLM_05.2,contr2,offer-timelocked
-0.0623389661739248,GLM_05.2,contr2,offer-timelocked
-0.068597422689771,GLM_05.2,contr2,offer-timelocked
-0.0768633098631721,GLM_05.2,contr2,offer-timelocked
-0.141533448258854,GLM_05.2,contr2,offer-timelocked
-0.21524498847326,GLM_05.2,contr2,offer-timelocked
-0.0564390560958941,GLM_05.2,contr2,offer-timelocked
-0.153308688058646,GLM_05.2,contr2,offer-timelocked
-0.079653800628795,GLM_05.2,contr2,offer-timelocked
-0.149204065011926,GLM_05.2,contr2,offer-timelocked
0.0798659943806986,GLM_05.2,contr2,offer-timelocked
-0.0981336977575979,GLM_05.2,contr2,offer-timelocked
0.00671669373649082,GLM_05.2,contr2,offer-timelocked
0.0944062452267934,GLM_05.2,contr2,offer-timelocked
0.00901297012582434,GLM_05.2,contr2,offer-timelocked
-0.0153261244310961,GLM_05.2,contr2,offer-timelocked
-0.0819240156013135,GLM_05.2,contr2,offer-timelocked
-0.00861903167951388,GLM_05.2,contr2,offer-timelocked
-0.0544084218953892,GLM_05.2,contr2,offer-timelocked
-0.0150102159437641,GLM_05.2,contr2,offer-timelocked
-0.114363293023956,GLM_05.2,contr2,offer-timelocked
0.111305965377227,GLM_05.2,contr2,offer-timelocked
0.144963846689901,GLM_05.2,contr2,offer-timelocked
0.0957918908688253,GLM_05.2,contr2,offer-timelocked
-0.05545530412277,GLM_05.2,contr2,offer-timelocked
-0.0102440156590082,GLM_05.2,contr2,offer-timelocked
-0.265912564795207,GLM_05.2,contr2,offer-timelocked
