AIsphere7,dACCsphere7,GLM,contrast,timelock
-0.0397328101595636,-0.0384509735233315,GLM_03,contr1,offer-timelocked
0.158021144112978,-0.0194724843327382,GLM_03,contr1,offer-timelocked
-0.0408763996131594,-0.132627636841523,GLM_03,contr1,offer-timelocked
0.0315531867592431,0.155701507184389,GLM_03,contr1,offer-timelocked
-0.137192088824456,-0.153576810598156,GLM_03,contr1,offer-timelocked
0.0743321782175813,0.243136871307489,GLM_03,contr1,offer-timelocked
-0.126751033820636,-0.121997129742727,GLM_03,contr1,offer-timelocked
0.0823445900389894,0.0619012615056753,GLM_03,contr1,offer-timelocked
-0.236322100136632,0.230663268026143,GLM_03,contr1,offer-timelocked
0.114247966909301,0.157669412296234,GLM_03,contr1,offer-timelocked
0.0176661514982571,0.0391686330627272,GLM_03,contr1,offer-timelocked
0.060317718963794,-0.00948415431595018,GLM_03,contr1,offer-timelocked
0.0431349585673326,0.0269587068592443,GLM_03,contr1,offer-timelocked
-0.0634066858620419,0.194984123537083,GLM_03,contr1,offer-timelocked
-0.000995709887342536,0.122851617326173,GLM_03,contr1,offer-timelocked
-0.0422759576499018,0.00905490719054559,GLM_03,contr1,offer-timelocked
-0.152894468091895,-0.360366837711325,GLM_03,contr1,offer-timelocked
-0.109258408634009,-0.0928052481215443,GLM_03,contr1,offer-timelocked
0.181817895214037,0.105103270782159,GLM_03,contr1,offer-timelocked
-0.0821778810903795,0.00880856759118953,GLM_03,contr1,offer-timelocked
0.00109400539749822,0.00815937183514424,GLM_03,contr1,offer-timelocked
0.00147009081942188,-0.0545329393745177,GLM_03,contr1,offer-timelocked
0.212616045665572,0.190140667445754,GLM_03,contr1,offer-timelocked
0.0157365629270783,0.0251884707189708,GLM_03,contr1,offer-timelocked
0.169678075553877,0.332318614194479,GLM_03,contr1,offer-timelocked
0.128874721364721,0.0973543847606662,GLM_03,contr1,offer-timelocked
0.0154008329610429,0.126509556261474,GLM_03,contr1,offer-timelocked
