BF,DRN_custom,MBD,LC_Pauli,HB,GLM,contrast,timelock
0.00347577169444553,0.0661318031476025,-0.00380628870113492,0.1099542799546,-0.081193897958659,GLM_012,contr1,offer-timelocked
-0.114783922438545,-0.0259412675225405,-0.0133696380702245,-0.00337104227564726,0.0788847322689293,GLM_012,contr1,offer-timelocked
-0.108117842416184,0.0557110843207296,-0.0176045147113846,-0.0470251400721971,0.00512144881420322,GLM_012,contr1,offer-timelocked
-0.0582756506097224,0.054038517086802,-0.0778031733250925,-0.037060128050401,-0.119770247596742,GLM_012,contr1,offer-timelocked
0.0400849635906846,-0.00408466223013062,-0.052641501522949,-0.121807041893282,0.101327768490264,GLM_012,contr1,offer-timelocked
0.129073515355205,0.082486345305877,0.172122815062334,-0.0529896336533103,0.102897314863146,GLM_012,contr1,offer-timelocked
0.00489733833585385,0.0877499671964523,0.0914539041382068,-0.0487161876976599,-0.00933148655336907,GLM_012,contr1,offer-timelocked
0.0623438505124388,0.00090771387007552,0.0228289134547147,-0.081816449677307,0.0533799109683072,GLM_012,contr1,offer-timelocked
0.043363378689536,0.0754044187625115,0.0699747503945166,-0.0750247152875148,0.103673872430379,GLM_012,contr1,offer-timelocked
0.137920854154212,0.146674542053443,0.126757219894159,0.0597033634321189,-0.141151553226602,GLM_012,contr1,offer-timelocked
-0.0908279762719337,0.103923475318164,0.00513522879651252,0.0289018381371991,0.14474493199632,GLM_012,contr1,offer-timelocked
0.138320179547133,0.100763528375683,0.0473347079970851,0.126741909416496,-0.0753446188274782,GLM_012,contr1,offer-timelocked
-0.0803637332288075,0.0167392266422857,0.0278751590344969,-0.0706730034978202,-0.0303036338760514,GLM_012,contr1,offer-timelocked
0.041612165978747,-0.0662699544239242,0.00110684994835823,0.124946271815351,-0.0446813410122645,GLM_012,contr1,offer-timelocked
-0.0197850551069821,-0.0942458390768122,0.0114602468575098,-0.110944462937151,0.00893179809341052,GLM_012,contr1,offer-timelocked
-4.99816436439616e-05,0.0359126730770998,0.044962635973248,0.109126221085915,0.109756590288756,GLM_012,contr1,offer-timelocked
-0.0104637100348213,0.0297859824142435,0.0663092061175838,0.0130683047584887,-0.0242587013946543,GLM_012,contr1,offer-timelocked
-0.00928656625683248,0.0948815907821889,0.147404064700899,0.0490352666659214,0.0557546727240088,GLM_012,contr1,offer-timelocked
0.0788532878937228,0.033835365683768,-0.0234722886881855,0.0981806774497813,0.0076522916740178,GLM_012,contr1,offer-timelocked
0.0894892327909883,-0.0112330110748731,0.0202925808237519,-0.0526771261095753,0.213676454898279,GLM_012,contr1,offer-timelocked
-0.040886810153664,0.00545874455439236,0.0551682074267615,0.0702691978116825,0.0757923440142465,GLM_012,contr1,offer-timelocked
0.0665378550052581,0.0247998969704383,0.152337798650964,-0.0600113823982355,0.209181193353633,GLM_012,contr1,offer-timelocked
-0.0975307000739336,0.0729248209135779,0.166711517856301,-0.0461478419498066,-0.134746371844983,GLM_012,contr1,offer-timelocked
-0.00423160134256319,0.14002650812505,0.0769036949881406,0.161010840889612,-0.00028901218890909,GLM_012,contr1,offer-timelocked
-0.113811414494571,0.000887762498214774,0.0512029212357951,-0.0366473907939905,-0.0288223729731304,GLM_012,contr1,offer-timelocked
-0.0212647715603487,-0.0514879418487119,0.126676065847199,0.00807138621456327,0.084789910897709,GLM_012,contr1,offer-timelocked
-0.115033616111172,0.0436230835570222,0.0797273309879941,0.016494333840118,0.0708522489057472,GLM_012,contr1,offer-timelocked
